disaster_id,disaster_state,disaster_county,disaster_state_code,disaster_county_code,disaster_declaration,disaster_name,disaster_type,disaster_date,disaster_fips_code
DR-732-FL,FL,Indian River (County),12,061,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12061
DR-664-FL,FL,Sarasota (County),12,115,DR,SEVERE STORMS AND FLOODING,Flood,1982-07-07T04:00:00.000Z,12115
DR-732-FL,FL,Collier (County),12,021,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12021
DR-756-FL,FL,Liberty (County),12,077,DR,HURRICANE KATE,Hurricane,1985-11-21T05:00:00.000Z,12077
DR-607-FL,FL,Pasco (County),12,101,DR,SEVERE STORMS & FLOODING,Flood,1979-09-29T04:00:00.000Z,12101
DR-664-FL,FL,Manatee (County),12,081,DR,SEVERE STORMS AND FLOODING,Flood,1982-07-07T04:00:00.000Z,12081
DR-600-FL,FL,Escambia (County),12,033,DR,HURRICANE FREDERIC,Hurricane,1979-09-13T04:00:00.000Z,12033
DR-698-FL,FL,Pasco (County),12,101,DR,FREEZING TEMPERATURES,Freezing,1983-12-24T05:00:00.000Z,12101
DR-743-FL,FL,Dixie (County),12,029,DR,HURRICANE ELENA,Hurricane,1985-08-29T04:00:00.000Z,12029
DR-698-FL,FL,Orange (County),12,095,DR,FREEZING TEMPERATURES,Freezing,1983-12-24T05:00:00.000Z,12095
DR-664-FL,FL,Hendry (County),12,051,DR,SEVERE STORMS AND FLOODING,Flood,1982-07-07T04:00:00.000Z,12051
DR-743-FL,FL,Wakulla (County),12,129,DR,HURRICANE ELENA,Hurricane,1985-08-29T04:00:00.000Z,12129
DR-862-FL,FL,Okaloosa (County),12,091,DR,SEVERE STORMS & FLOODING,Flood,1990-03-16T05:00:00.000Z,12091
DR-756-FL,FL,Calhoun (County),12,013,DR,HURRICANE KATE,Hurricane,1985-11-21T05:00:00.000Z,12013
DR-732-FL,FL,Broward (County),12,011,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12011
DR-732-FL,FL,Seminole (County),12,117,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12117
DR-732-FL,FL,Brevard (County),12,009,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12009
DR-698-FL,FL,Lake (County),12,069,DR,FREEZING TEMPERATURES,Freezing,1983-12-24T05:00:00.000Z,12069
DR-732-FL,FL,St. Lucie (County),12,111,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12111
DR-732-FL,FL,Pasco (County),12,101,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12101
DR-743-FL,FL,Franklin (County),12,037,DR,HURRICANE ELENA,Hurricane,1985-08-29T04:00:00.000Z,12037
DR-732-FL,FL,Palm Beach (County),12,099,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12099
DR-756-FL,FL,Jefferson (County),12,065,DR,HURRICANE KATE,Hurricane,1985-11-21T05:00:00.000Z,12065
